label,pair,lF,PF,F1,F2,S1,S2,,,,,,,,,,,,,,,,,,,
SKACBBA,"('SKAADDC', 'SKACBBA')",3,0,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
SKACBBC,"('SKACBBA', 'SKACBBC')",3,0,N,AN,AN,N,,,,,,,,,,,,,,,,,,,
SKACBBD,"('SKACBBC', 'SKACBBD')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKADA,"('SKACBBD', 'SKADA')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKADCB,"('SKADA', 'SKADCB')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKADD,"('SKADCB', 'SKADD')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKBCCCC,"('SKADD', 'SKBCCCC')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDAAAA,"('SKBCCCC', 'SKDAAAA')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDAAAB,"('SKDAAAA', 'SKDAAAB')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDAABA,"('SKDAAAB', 'SKDAABA')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDAABC,"('SKDAABA', 'SKDAABC')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDAAAD,"('SKDAABC', 'SKDAAAD')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDAACB,"('SKDAAAD', 'SKDAACB')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDAACD,"('SKDAACB', 'SKDAACD')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDACAB,"('SKDAACD', 'SKDACAB')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDACAD,"('SKDACAB', 'SKDACAD')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDACAC,"('SKDACAD', 'SKDACAC')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDACCA,"('SKDACAC', 'SKDACCA')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKDACCC,"('SKDACCA', 'SKDACCC')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKCBDDD,"('SKDACCC', 'SKCBDDD')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKCDB,"('SKCBDDD', 'SKCDB')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKCDD,"('SKCDB', 'SKCDD')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKCDCDB,"('SKCDD', 'SKCDCDB')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKCDCDD,"('SKCDCDB', 'SKCDCDD')",0,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
SKCDCDC,"('SKCDCDD', 'SKCDCDC')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABABA,"('SKCDCDC', 'RKABABA')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABABC,"('RKABABA', 'RKABABC')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABAAD,"('RKABABC', 'RKABAAD')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABACB,"('RKABAAD', 'RKABACB')",2,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABACA,"('RKABACB', 'RKABACA')",3,1,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABACC,"('RKABACA', 'RKABACC')",1,0,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABACD,"('RKABACC', 'RKABACD')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABCAB,"('RKABACD', 'RKABCAB')",2,1,AN,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABADC,"('RKABCAB', 'RKABADC')",3,0,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABCBA,"('RKABADC', 'RKABCBA')",3,2,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABADC,"('RKABCBA', 'RKABADC')",3,2,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
RKABCBA,"('RKABADC', 'RKABCBA')",3,2,N,AN,AN,AN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,label,SKCDB,SKCDD,SKCDCDB,SKCDCDD,SKCDCDC,RKABABA,RKABABC,RKABAAD,RKABACB,RKABACA,RKABACC,RKABACD,RKABCAB,RKABADC,RKABCBA,RKABADC,RKABCBA
,,,,,,,,,pair,"('SKCBDDD', 'SKCDB')","('SKCDB', 'SKCDD')","('SKCDD', 'SKCDCDB')","('SKCDCDB', 'SKCDCDD')","('SKCDCDD', 'SKCDCDC')","('SKCDCDC', 'RKABABA')","('RKABABA', 'RKABABC')","('RKABABC', 'RKABAAD')","('RKABAAD', 'RKABACB')","('RKABACB', 'RKABACA')","('RKABACA', 'RKABACC')","('RKABACC', 'RKABACD')","('RKABACD', 'RKABCAB')","('RKABCAB', 'RKABADC')","('RKABADC', 'RKABCBA')","('RKABCBA', 'RKABADC')","('RKABADC', 'RKABCBA')"
,,,,,,,,,lF,0,0,1,0,1,1,1,1,2,3,1,3,2,3,3,3,3
,,,,,,,,,PF,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,2
,,,,,,,,,F1,AN,AN,AN,AN,AN,AN,AN,AN,AN,N,AN,N,AN,N,N,N,N
,,,,,,,,,F2,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
,,,,,,,,,S1,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
,,,,,,,,,S2,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN,AN
